year,date,round,home_team,away_team,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_second_yellow_reds,away_second_yellow_reds,data_available,total_yellow_cards,total_red_cards
1978,1978-06-10,First round,West Germany,Tunisia,1,1,0,0,0.0,0.0,True,2,0
1978,1978-06-10,First round,Italy,Argentina,1,0,0,0,0.0,0.0,True,1,0
1978,1978-06-07,First round,Austria,Sweden,0,0,0,0,0.0,0.0,False,0,0
1978,1978-06-07,First round,Brazil,Spain,0,1,0,0,0.0,0.0,True,1,0
1978,1978-06-07,First round,Netherlands,Peru,1,1,0,0,0.0,0.0,True,2,0
1978,1978-06-07,First round,Scotland,IR Iran,0,1,0,0,0.0,0.0,True,1,0
1978,1978-06-06,First round,Italy,Hungary,0,2,0,0,0.0,0.0,True,2,0
1978,1978-06-06,First round,West Germany,Mexico,1,1,0,0,0.0,0.0,True,2,0
1978,1978-06-06,First round,Poland,Tunisia,0,0,0,0,0.0,0.0,False,0,0
1978,1978-06-06,First round,Argentina,France,0,1,0,0,0.0,0.0,True,1,0
1978,1978-06-03,First round,Sweden,Brazil,0,1,0,0,0.0,0.0,True,1,0
1978,1978-06-03,First round,Austria,Spain,0,0,0,0,0.0,0.0,False,0,0
1978,1978-06-03,First round,Peru,Scotland,1,0,0,0,0.0,0.0,True,1,0
1978,1978-06-03,First round,Netherlands,IR Iran,0,1,0,0,0.0,0.0,True,1,0
1978,1978-06-02,First round,Italy,France,1,2,0,0,0.0,0.0,True,3,0
1978,1978-06-02,First round,Tunisia,Mexico,0,0,0,0,0.0,0.0,False,0,0
1978,1978-06-02,First round,Argentina,Hungary,1,2,0,1,0.0,0.0,True,3,1
1978,1978-06-01,First round,West Germany,Poland,0,0,0,0,0.0,0.0,False,0,0
1974,1974-07-07,Final,Netherlands,West Germany,3,1,0,0,0.0,0.0,True,4,0
